//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0315
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=1000
SampleCnt=202       
StartTime=2025/08/26 09:49:16
EndTime=2025/08/26 09:52:37
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/08/27
Ch1=-7.027595e-01,+2.161007e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.714067e+00,+1.062201e-03,-1.196327e-08,+2.638040e-13,-3.010376e-18,+2.176796e-23,+0.000000e+00,+0.000000e+00,
Ch4=+5.010445e-02,+3.809940e+01,+3.164015e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.734926e+00,+7.539691e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-8.423751e+00,+1.271962e-02,+6.610446e-08,+2.867850e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.240523e+01,+2.142968e+06,-5.590543e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,+0.000000e+00,+1.000000e+00,
Ch9=-5.569065e+00,+1.069652e-03,-1.276158e-08,+2.996936e-13,-3.733113e-18,+2.715745e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2025/08/26,09:49:16,-0.0430,26.748,0.251,0.538,517.820,996.773,-3.226,0.17,0.17,0.01,98.02,7.798,8.11,7.819,7.820,
2025/08/26,09:49:17,-0.0645,26.540,0.246,0.524,506.810,996.826,-3.174,0.17,0.17,0.00,97.96,7.790,8.18,7.811,7.812,
2025/08/26,09:49:18,-0.0645,26.478,0.239,0.509,493.275,996.838,-3.162,0.18,0.18,0.00,98.10,7.799,8.22,7.820,7.821,
2025/08/26,09:49:19,-0.0645,26.557,0.234,0.498,481.629,996.812,-3.188,0.18,0.18,-0.01,97.90,7.783,8.26,7.805,7.805,
2025/08/26,09:49:20,-0.0645,26.651,0.229,0.490,472.783,996.783,-3.217,0.20,0.20,0.00,98.06,7.799,8.28,7.820,7.821,
2025/08/26,09:49:21,-0.0645,26.612,0.226,0.482,465.516,996.791,-3.209,0.23,0.23,-0.01,98.00,7.796,8.28,7.818,7.818,
2025/08/26,09:49:22,-0.0645,26.383,0.223,0.474,459.915,996.851,-3.149,0.24,0.24,-0.01,97.87,7.784,8.30,7.806,7.806,
2025/08/26,09:49:23,-0.0645,26.336,0.219,0.466,452.635,996.861,-3.139,0.24,0.24,0.00,98.15,7.805,8.28,7.827,7.827,
2025/08/26,09:49:24,-0.0430,26.445,0.216,0.459,445.233,996.829,-3.171,0.26,0.26,0.00,98.10,7.802,8.29,7.823,7.823,
2025/08/26,09:49:25,-0.0430,26.623,0.213,0.455,439.001,996.778,-3.222,0.28,0.28,0.00,98.03,7.796,8.27,7.817,7.818,
2025/08/26,09:49:26,-0.0645,26.416,0.211,0.450,435.973,996.833,-3.167,0.29,0.29,0.00,98.05,7.795,8.29,7.817,7.817,
2025/08/26,09:49:27,-0.0645,26.436,0.208,0.444,430.094,996.826,-3.174,0.27,0.27,0.00,97.99,7.782,8.29,7.804,7.804,
2025/08/26,09:49:28,-0.0430,26.640,0.205,0.439,423.970,996.768,-3.232,0.27,0.27,-0.01,97.87,7.770,8.28,7.791,7.791,
2025/08/26,09:49:29,-0.0430,26.600,0.204,0.435,420.578,996.778,-3.222,0.24,0.24,-0.01,97.84,7.776,8.29,7.797,7.797,
2025/08/26,09:49:30,-0.0430,26.392,0.203,0.431,418.578,996.833,-3.167,0.22,0.22,-0.01,97.93,7.780,8.28,7.802,7.802,
2025/08/26,09:49:31,-0.0430,26.481,0.201,0.428,414.774,996.808,-3.192,0.18,0.18,-0.01,97.96,7.776,8.29,7.797,7.798,
2025/08/26,09:49:32,-0.0430,26.424,0.200,0.426,412.583,996.822,-3.177,0.17,0.17,-0.01,97.87,7.769,8.28,7.790,7.790,
2025/08/26,09:49:33,-0.0645,26.513,0.197,0.422,407.991,996.797,-3.203,0.14,0.14,-0.01,97.62,7.748,8.27,7.769,7.769,
2025/08/26,09:49:34,-0.0645,26.511,0.196,0.417,404.027,996.796,-3.204,0.15,0.15,-0.01,97.56,7.743,8.29,7.765,7.765,
2025/08/26,09:49:35,-0.0645,26.496,0.194,0.414,400.777,996.798,-3.201,0.14,0.14,-0.01,97.78,7.762,8.28,7.784,7.784,
2025/08/26,09:49:36,-0.0430,26.481,0.193,0.411,398.122,996.802,-3.198,0.13,0.13,0.00,97.84,7.766,8.29,7.788,7.788,
2025/08/26,09:49:37,-0.0430,26.431,0.191,0.408,395.062,996.814,-3.186,0.14,0.14,-0.01,97.86,7.765,8.29,7.786,7.786,
2025/08/26,09:49:38,-0.0430,26.609,0.189,0.404,389.877,996.764,-3.236,0.18,0.18,-0.01,97.77,7.756,8.27,7.778,7.778,
2025/08/26,09:49:39,-0.0645,26.479,0.187,0.400,387.259,996.798,-3.201,0.23,0.23,-0.01,97.80,7.762,8.30,7.784,7.784,
2025/08/26,09:49:40,-0.0430,26.410,0.186,0.396,384.118,996.816,-3.184,0.27,0.27,-0.01,98.00,7.777,8.29,7.798,7.798,
2025/08/26,09:49:41,-0.0430,26.458,0.184,0.392,380.080,996.801,-3.198,0.29,0.29,-0.01,97.94,7.772,8.29,7.794,7.794,
2025/08/26,09:49:42,-0.0215,26.405,0.182,0.389,377.174,996.815,-3.185,0.29,0.29,-0.01,97.86,7.770,8.28,7.791,7.791,
2025/08/26,09:49:43,-0.0215,26.259,0.181,0.385,374.711,996.853,-3.147,0.26,0.26,0.00,97.70,7.767,8.29,7.789,7.789,
2025/08/26,09:49:44,-0.0430,26.474,0.178,0.380,367.723,996.792,-3.207,0.23,0.23,-0.01,97.79,7.778,8.28,7.800,7.800,
2025/08/26,09:49:45,-0.0430,26.441,0.176,0.376,363.966,996.800,-3.200,0.21,0.21,-0.01,97.75,7.793,8.29,7.814,7.815,
2025/08/26,09:49:46,-0.0430,26.425,0.175,0.372,360.768,996.803,-3.197,0.14,0.14,-0.01,97.89,7.801,8.28,7.822,7.823,
2025/08/26,09:49:47,-0.0430,26.529,0.173,0.369,356.789,996.774,-3.226,0.13,0.13,-0.01,97.88,7.806,8.28,7.827,7.827,
2025/08/26,09:49:48,-0.0215,26.386,0.172,0.367,355.926,996.812,-3.188,0.21,0.21,-0.01,98.02,7.816,8.28,7.837,7.837,
2025/08/26,09:49:49,-0.0430,26.390,0.171,0.363,352.621,996.810,-3.190,0.17,0.17,-0.01,98.08,7.816,8.30,7.837,7.837,
2025/08/26,09:49:50,-0.0215,26.496,0.169,0.361,349.043,996.780,-3.220,0.20,0.20,-0.01,98.06,7.814,8.28,7.835,7.836,
2025/08/26,09:49:51,-0.0430,26.461,0.168,0.359,347.840,996.789,-3.211,0.26,0.26,-0.01,98.12,7.816,8.28,7.837,7.838,
2025/08/26,09:49:52,-0.0215,26.549,0.167,0.356,344.496,996.764,-3.236,0.29,0.29,0.00,98.20,7.821,8.29,7.842,7.842,
2025/08/26,09:49:53,-0.0430,26.564,0.166,0.354,342.463,996.759,-3.241,0.24,0.24,-0.01,98.16,7.816,8.30,7.837,7.838,
2025/08/26,09:49:54,-0.0215,26.558,0.165,0.352,340.663,996.760,-3.240,0.18,0.18,-0.01,98.18,7.814,8.30,7.835,7.835,
