//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0315
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=1000
SampleCnt=422       
StartTime=2025/08/26 10:42:10
EndTime=2025/08/26 10:49:11
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/08/27
Ch1=-7.027595e-01,+2.161007e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.714067e+00,+1.062201e-03,-1.196327e-08,+2.638040e-13,-3.010376e-18,+2.176796e-23,+0.000000e+00,+0.000000e+00,
Ch4=+5.010445e-02,+3.809940e+01,+3.164015e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.734926e+00,+7.539691e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-8.423751e+00,+1.271962e-02,+6.610446e-08,+2.867850e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.240523e+01,+2.142968e+06,-5.590543e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,+0.000000e+00,+1.000000e+00,
Ch9=-5.569065e+00,+1.069652e-03,-1.276158e-08,+2.996936e-13,-3.733113e-18,+2.715745e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2025/08/26,10:42:10,0.0430,26.412,0.128,0.271,263.134,996.772,-3.228,0.23,0.23,0.01,98.27,7.916,8.00,7.937,7.937,
2025/08/26,10:42:11,0.0430,26.391,0.127,0.270,262.035,996.777,-3.223,0.21,0.21,0.00,98.58,7.942,8.11,7.964,7.964,
2025/08/26,10:42:12,0.0215,26.441,0.126,0.268,259.810,996.762,-3.238,0.23,0.23,0.00,98.49,7.934,8.17,7.955,7.956,
2025/08/26,10:42:13,0.0215,26.411,0.125,0.266,258.387,996.770,-3.230,0.20,0.20,0.00,98.47,7.930,8.19,7.951,7.952,
2025/08/26,10:42:14,0.0215,26.284,0.127,0.269,261.397,996.805,-3.195,0.22,0.22,0.00,98.36,7.922,8.20,7.943,7.944,
2025/08/26,10:42:15,0.0215,26.350,0.127,0.269,261.343,996.788,-3.212,0.20,0.20,0.00,98.31,7.914,8.23,7.935,7.936,
2025/08/26,10:42:16,0.0215,26.344,0.126,0.268,260.353,996.789,-3.211,0.22,0.22,0.00,98.27,7.912,8.23,7.933,7.934,
2025/08/26,10:42:17,0.0215,26.285,0.127,0.268,261.062,996.805,-3.195,0.20,0.20,0.00,98.15,7.903,8.25,7.924,7.924,
2025/08/26,10:42:18,0.0215,26.287,0.127,0.269,261.644,996.805,-3.196,0.21,0.21,-0.01,98.08,7.899,8.23,7.920,7.920,
2025/08/26,10:42:19,0.0215,26.253,0.126,0.268,260.723,996.814,-3.187,0.20,0.20,0.00,98.14,7.906,8.24,7.928,7.928,
2025/08/26,10:42:20,0.0215,26.189,0.125,0.264,257.225,996.829,-3.171,-4.73,-4.73,-8.31,98.00,7.898,8.25,7.919,7.919,
2025/08/26,10:42:21,0.0215,25.187,2.232,4.226,4208.620,998.681,-1.320,-0.06,-0.06,-8.11,101.76,8.245,8.25,8.267,8.267,
2025/08/26,10:42:22,0.0860,25.425,12.744,21.455,21255.878,1006.492,6.492,-2.85,-2.85,-7.48,104.52,7.967,8.25,7.990,7.989,
2025/08/26,10:42:23,0.1290,25.337,34.022,52.093,51710.144,1022.500,22.500,1.30,1.30,0.45,106.09,7.158,8.26,7.178,7.179,
2025/08/26,10:42:24,0.0215,25.453,0.558,1.136,1124.615,997.351,-2.649,-2.69,-2.69,-6.43,106.89,8.713,8.24,8.736,8.737,
2025/08/26,10:42:25,0.1290,25.259,34.032,52.028,51733.193,1022.532,22.531,1.15,1.15,0.14,106.58,7.195,8.24,7.215,7.216,
2025/08/26,10:42:26,0.0430,25.280,10.714,18.242,18129.824,1005.013,5.012,18.65,18.65,-1.15,106.77,8.234,8.26,8.257,8.256,
2025/08/26,10:42:27,0.1505,25.330,29.202,45.444,45116.798,1018.869,18.868,1.08,1.08,-4.76,106.92,7.424,8.24,7.445,7.446,
2025/08/26,10:42:28,0.4300,25.189,34.030,51.953,51738.081,1022.553,22.551,1.19,1.19,0.28,107.06,7.244,8.24,7.264,7.265,
2025/08/26,10:42:29,0.7739,25.071,34.028,51.830,51749.756,1022.589,22.585,1.23,1.23,0.13,107.23,7.268,8.22,7.288,7.289,
2025/08/26,10:42:30,0.9244,24.904,34.083,51.735,51844.111,1022.681,22.677,1.49,1.49,0.04,107.30,7.294,8.26,7.314,7.315,
2025/08/26,10:42:31,1.2254,24.807,34.060,51.605,51825.613,1022.695,22.690,1.58,1.58,0.22,107.70,7.329,8.23,7.349,7.351,
2025/08/26,10:42:32,1.5479,24.859,34.035,51.624,51784.780,1022.661,22.654,1.75,1.75,0.18,107.79,7.327,8.25,7.348,7.349,
2025/08/26,10:42:33,1.7629,24.792,34.055,51.584,51820.738,1022.698,22.690,1.58,1.58,0.15,107.68,7.332,8.24,7.352,7.353,
2025/08/26,10:42:34,1.9994,24.774,34.058,51.569,51826.393,1022.706,22.697,1.63,1.63,0.19,107.72,7.337,8.24,7.357,7.358,
2025/08/26,10:42:35,2.3219,24.760,34.048,51.541,51814.801,1022.704,22.694,1.67,1.67,0.13,107.75,7.343,8.23,7.363,7.364,
2025/08/26,10:42:36,2.5583,24.770,34.046,51.549,51811.129,1022.701,22.690,1.64,1.64,0.20,107.78,7.342,8.25,7.362,7.364,
2025/08/26,10:42:37,2.8163,24.760,34.049,51.543,51817.187,1022.708,22.695,1.65,1.65,0.18,107.74,7.342,8.24,7.362,7.363,
2025/08/26,10:42:38,3.0958,24.746,34.063,51.548,51837.565,1022.723,22.710,1.90,1.90,0.15,107.76,7.345,8.25,7.365,7.366,
2025/08/26,10:42:39,3.3108,24.736,34.034,51.499,51799.461,1022.705,22.691,1.73,1.73,0.18,107.72,7.344,8.22,7.365,7.366,
2025/08/26,10:42:40,3.4828,24.721,34.042,51.494,51812.063,1022.717,22.701,1.70,1.70,0.14,107.74,7.347,8.25,7.367,7.368,
2025/08/26,10:42:41,3.9343,24.665,34.050,51.448,51830.061,1022.741,22.724,1.90,1.90,0.15,107.70,7.352,8.26,7.372,7.373,
2025/08/26,10:42:42,4.1707,24.655,34.042,51.428,51820.710,1022.739,22.721,1.96,1.96,0.17,107.63,7.347,8.24,7.367,7.368,
2025/08/26,10:42:43,4.2997,24.612,34.053,51.399,51840.658,1022.761,22.742,1.99,1.99,0.18,107.46,7.342,8.25,7.362,7.363,
2025/08/26,10:42:44,4.6437,24.616,34.041,51.386,51824.132,1022.752,22.732,2.08,2.08,0.14,107.31,7.331,8.25,7.351,7.352,
2025/08/26,10:42:45,4.9017,24.582,34.055,51.371,51847.690,1022.774,22.753,2.07,2.07,0.10,107.36,7.338,8.24,7.358,7.359,
2025/08/26,10:42:46,5.1812,24.553,34.051,51.337,51846.317,1022.781,22.759,2.07,2.07,0.13,107.23,7.333,8.25,7.353,7.354,
2025/08/26,10:42:47,5.3962,24.495,34.067,51.299,51874.630,1022.811,22.788,2.03,2.03,0.14,107.14,7.333,8.22,7.353,7.354,
2025/08/26,10:42:48,5.7186,24.360,34.054,51.144,51874.079,1022.843,22.818,2.18,2.18,0.14,106.80,7.325,8.24,7.345,7.346,
2025/08/26,10:42:49,6.1701,24.268,34.088,51.096,51932.928,1022.899,22.872,2.03,2.03,0.13,106.43,7.312,8.25,7.332,7.333,
2025/08/26,10:42:50,6.4496,24.127,34.051,50.904,51899.948,1022.913,22.885,2.22,2.22,0.10,105.75,7.286,8.26,7.306,7.307,
2025/08/26,10:42:51,6.6646,23.863,34.087,50.685,51984.289,1023.020,22.991,2.25,2.25,0.14,105.19,7.278,8.24,7.297,7.298,
2025/08/26,10:42:52,7.0086,23.656,34.118,50.514,52053.114,1023.105,23.074,2.22,2.22,0.14,104.46,7.248,8.25,7.267,7.268,
2025/08/26,10:42:53,7.2880,23.632,34.105,50.473,52039.001,1023.103,23.072,2.34,2.34,0.10,104.12,7.230,8.25,7.249,7.250,
2025/08/26,10:42:54,7.6105,23.573,34.108,50.417,52051.351,1023.124,23.091,2.47,2.47,0.10,104.13,7.237,8.25,7.256,7.257,
2025/08/26,10:42:55,7.9760,23.499,34.094,50.324,52042.451,1023.137,23.102,2.57,2.57,0.10,103.94,7.234,8.25,7.253,7.254,
2025/08/26,10:42:56,8.2125,23.488,34.091,50.309,52039.925,1023.139,23.103,2.47,2.47,0.12,103.49,7.209,8.25,7.227,7.228,
2025/08/26,10:42:57,8.4705,23.456,34.107,50.299,52066.832,1023.162,23.125,2.50,2.50,0.10,103.48,7.208,8.26,7.227,7.228,
2025/08/26,10:42:58,8.7715,23.398,34.126,50.265,52100.962,1023.194,23.156,2.74,2.74,0.08,103.53,7.218,8.22,7.237,7.238,
2025/08/26,10:42:59,9.1154,23.371,34.118,50.226,52093.130,1023.197,23.158,2.96,2.96,0.12,103.93,7.250,8.24,7.269,7.270,
2025/08/26,10:43:00,9.3519,23.346,34.114,50.196,52091.547,1023.203,23.162,3.38,3.38,0.10,104.48,7.293,8.25,7.312,7.313,
2025/08/26,10:43:01,9.5669,23.329,34.112,50.176,52091.245,1023.207,23.165,3.39,3.39,0.10,104.71,7.311,8.24,7.330,7.331,
2025/08/26,10:43:02,10.0829,23.226,34.136,50.104,52138.519,1023.257,23.213,4.35,4.35,0.10,105.48,7.376,8.24,7.395,7.396,
2025/08/26,10:43:03,10.3624,23.147,34.144,50.034,52160.001,1023.287,23.242,4.00,4.00,0.10,105.78,7.405,8.25,7.424,7.425,
2025/08/26,10:43:04,10.4484,23.170,34.106,50.009,52106.373,1023.253,23.207,4.12,4.12,0.08,105.57,7.391,8.24,7.410,7.411,
2025/08/26,10:43:05,10.8353,23.062,34.119,49.917,52139.223,1023.295,23.248,3.68,3.68,0.08,105.26,7.384,8.24,7.403,7.404,
2025/08/26,10:43:06,11.2868,22.689,34.253,49.713,52375.404,1023.505,23.456,3.03,3.03,0.08,103.99,7.327,8.24,7.346,7.347,
2025/08/26,10:43:07,11.4588,22.563,34.191,49.505,52309.745,1023.495,23.445,2.83,2.83,0.10,102.19,7.225,8.23,7.244,7.245,
2025/08/26,10:43:08,11.7598,22.424,34.191,49.365,52330.913,1023.536,23.484,2.75,2.75,0.12,100.89,7.148,8.25,7.166,7.167,
2025/08/26,10:43:09,11.9748,22.240,34.166,49.147,52323.925,1023.569,23.517,2.75,2.75,0.12,100.06,7.117,8.24,7.134,7.135,
2025/08/26,10:43:10,12.1467,22.225,34.180,49.150,52345.584,1023.585,23.532,2.59,2.59,0.13,99.77,7.097,8.26,7.115,7.116,
2025/08/26,10:43:11,12.6842,22.134,34.191,49.073,52374.681,1023.621,23.566,2.62,2.62,0.15,99.57,7.094,8.23,7.112,7.113,
2025/08/26,10:43:12,13.0712,22.084,34.162,48.985,52343.212,1023.615,23.558,3.00,3.00,0.12,99.25,7.077,8.22,7.095,7.096,
2025/08/26,10:43:13,13.0282,22.085,34.157,48.980,52336.479,1023.611,23.554,2.84,2.84,0.13,99.15,7.072,8.24,7.090,7.090,
2025/08/26,10:43:14,13.3507,22.067,34.164,48.971,52348.964,1023.622,23.564,2.85,2.85,0.13,98.97,7.060,8.24,7.078,7.079,
2025/08/26,10:43:15,13.8021,22.022,34.196,48.966,52399.773,1023.661,23.601,2.83,2.83,0.14,99.07,7.071,8.24,7.088,7.089,
2025/08/26,10:43:16,14.0386,21.918,34.144,48.796,52344.545,1023.651,23.590,2.74,2.74,0.18,98.67,7.061,8.26,7.079,7.080,
2025/08/26,10:43:17,14.1031,21.794,34.144,48.671,52364.519,1023.686,23.625,3.03,3.03,0.14,98.44,7.061,8.23,7.078,7.079,
2025/08/26,10:43:18,14.4256,21.223,34.213,48.185,52551.527,1023.897,23.834,2.92,2.92,0.23,97.23,7.036,8.25,7.052,7.053,
2025/08/26,10:43:19,14.9631,20.058,34.379,47.224,52984.617,1024.339,24.273,2.66,2.66,0.19,95.30,7.012,8.24,7.027,7.028,
2025/08/26,10:43:20,15.0921,19.875,34.294,46.937,52901.485,1024.322,24.256,2.72,2.72,0.20,92.87,6.881,8.24,6.896,6.897,
2025/08/26,10:43:21,15.1781,19.875,34.315,46.963,52930.379,1024.338,24.272,2.47,2.47,0.22,91.70,6.795,8.24,6.809,6.810,
2025/08/26,10:43:22,15.6510,19.804,34.316,46.893,52945.301,1024.360,24.291,2.56,2.56,0.18,91.19,6.766,8.24,6.780,6.781,
2025/08/26,10:43:23,15.9090,19.774,34.284,46.825,52908.100,1024.345,24.275,2.48,2.48,0.19,90.87,6.749,8.23,6.763,6.764,
2025/08/26,10:43:24,15.9950,19.765,34.290,46.823,52917.254,1024.352,24.281,2.47,2.47,0.18,90.62,6.733,8.24,6.747,6.748,
2025/08/26,10:43:25,16.2745,19.744,34.320,46.839,52963.518,1024.382,24.310,2.39,2.39,0.20,90.58,6.732,8.25,6.746,6.746,
2025/08/26,10:43:26,16.5970,19.730,34.324,46.830,52971.247,1024.390,24.317,2.38,2.38,0.19,90.52,6.728,8.25,6.743,6.743,
2025/08/26,10:43:27,16.9194,19.711,34.321,46.807,52971.001,1024.394,24.319,2.50,2.50,0.14,90.42,6.723,8.25,6.737,6.738,
2025/08/26,10:43:28,17.2849,19.701,34.312,46.786,52960.196,1024.391,24.315,2.53,2.53,0.18,90.41,6.724,8.27,6.738,6.738,
2025/08/26,10:43:29,17.4999,19.703,34.284,46.755,52921.715,1024.370,24.293,2.72,2.72,0.13,90.48,6.732,8.25,6.746,6.747,
2025/08/26,10:43:30,17.7364,19.699,34.309,46.781,52957.405,1024.392,24.314,2.44,2.44,0.17,90.40,6.725,8.24,6.740,6.740,
2025/08/26,10:43:31,17.9514,19.694,34.288,46.751,52929.043,1024.377,24.299,2.27,2.27,0.17,90.42,6.729,8.23,6.743,6.744,
2025/08/26,10:43:32,18.0589,19.697,34.286,46.751,52926.208,1024.376,24.296,2.51,2.51,0.13,90.35,6.724,8.24,6.738,6.739,
2025/08/26,10:43:33,18.3599,19.683,34.300,46.755,52947.578,1024.391,24.310,2.31,2.31,0.15,90.31,6.721,8.23,6.735,6.736,
2025/08/26,10:43:34,18.6823,19.680,34.304,46.757,52954.602,1024.397,24.315,2.38,2.38,0.17,90.34,6.723,8.24,6.737,6.738,
2025/08/26,10:43:35,19.0048,19.673,34.307,46.753,52960.085,1024.402,24.319,2.32,2.32,0.15,90.40,6.729,8.24,6.743,6.743,
2025/08/26,10:43:36,19.2628,19.660,34.302,46.734,52955.490,1024.403,24.318,2.35,2.35,0.13,90.36,6.729,8.24,6.743,6.744,
2025/08/26,10:43:37,19.4778,19.651,34.296,46.718,52949.157,1024.402,24.316,2.44,2.44,0.14,90.47,6.738,8.22,6.752,6.752,
2025/08/26,10:43:38,19.8003,19.631,34.304,46.708,52964.925,1024.415,24.328,2.48,2.48,0.12,90.34,6.731,8.24,6.745,6.745,
2025/08/26,10:43:39,20.1872,19.600,34.308,46.682,52975.514,1024.427,24.338,2.19,2.19,0.13,90.28,6.728,8.25,6.742,6.742,
2025/08/26,10:43:40,20.3377,19.466,34.298,46.536,52987.632,1024.455,24.365,2.15,2.15,0.09,89.93,6.723,8.24,6.737,6.737,
2025/08/26,10:43:41,20.3807,19.477,34.339,46.598,53042.795,1024.484,24.394,2.38,2.38,0.10,89.76,6.701,8.23,6.715,6.716,
2025/08/26,10:43:42,20.7462,19.328,34.329,46.438,53057.957,1024.516,24.424,1.99,1.99,0.09,89.49,6.701,8.24,6.715,6.716,
2025/08/26,10:43:43,21.1547,19.175,34.355,46.316,53123.648,1024.576,24.483,2.17,2.17,0.12,89.05,6.682,8.23,6.696,6.696,
2025/08/26,10:43:44,21.4772,18.955,34.406,46.159,53238.760,1024.673,24.578,2.24,2.24,0.09,88.37,6.660,8.24,6.673,6.674,
2025/08/26,10:43:45,21.6707,18.930,34.334,46.048,53144.454,1024.625,24.530,2.10,2.10,0.12,88.05,6.645,8.24,6.658,6.658,
2025/08/26,10:43:46,22.1006,18.854,34.365,46.010,53203.721,1024.670,24.573,2.31,2.31,0.12,87.75,6.631,8.24,6.643,6.644,
2025/08/26,10:43:47,22.4446,18.572,34.354,45.717,53246.587,1024.734,24.635,2.44,2.44,0.10,86.94,6.598,8.23,6.611,6.611,
2025/08/26,10:43:48,22.4661,18.563,34.341,45.693,53231.023,1024.727,24.628,2.13,2.13,0.12,86.48,6.570,8.24,6.583,6.583,
2025/08/26,10:43:49,22.5951,18.560,34.353,45.704,53248.530,1024.737,24.638,2.07,2.07,0.12,86.17,6.542,8.24,6.554,6.555,
2025/08/26,10:43:50,23.0251,18.518,34.352,45.662,53256.399,1024.749,24.648,1.95,1.95,0.10,86.18,6.552,8.24,6.564,6.565,
2025/08/26,10:43:51,23.4120,18.455,34.388,45.643,53319.860,1024.794,24.691,2.14,2.14,0.12,85.98,6.541,8.24,6.553,6.553,
2025/08/26,10:43:52,23.6270,18.360,34.378,45.537,53326.323,1024.811,24.707,1.76,1.76,0.09,85.58,6.522,8.25,6.534,6.534,
2025/08/26,10:43:53,23.9065,18.215,34.418,45.440,53413.225,1024.879,24.774,1.76,1.76,0.08,84.92,6.484,8.23,6.496,6.497,
2025/08/26,10:43:54,24.2075,18.032,34.451,45.297,53498.323,1024.950,24.844,1.67,1.67,0.06,84.22,6.458,8.23,6.469,6.470,
2025/08/26,10:43:55,24.4870,17.900,34.424,45.136,53491.185,1024.964,24.856,1.70,1.70,0.09,83.56,6.422,8.24,6.433,6.434,
